6682	[5368]	[142, 191, 231, 311, 536, 548, 696, 721, 959, 1153, 1552, 1794, 1951, 2292, 2481, 2548, 3132, 3454, 3883, 6402, 1585, 2271, 1132, 5930, 1129, 2533, 5007, 5387, 435, 2568, 736, 1936, 1973, 1070, 2867, 1188, 1671, 3038, 5457, 3277, 2461, 5458, 979, 4690, 4372, 825, 3865]
1877	[862]	[157, 247, 462, 477, 496, 773, 1132, 1202, 1356, 1628, 533, 1654, 817, 867, 1105]
7485	[5992]	[3741]
8492	[5443]	[1261]
719	[231]	[98]
941	[618]	[380]
7254	[676]	[4438]
8153	[]	[7652, 380, 6795, 723, 5952]
1671	[995]	[1263, 1269, 704]
625	[551]	[397]
5258	[4708]	[3514]
6017	[5007]	[5575]
2215	[762]	[167]
7999	[163, 450, 571, 1054, 1354, 1574, 1589, 1634, 1693, 1851, 2511, 3608, 3774, 3901, 4377, 4508, 6458, 6754, 7082, 7559, 1130, 959, 202, 704, 3403, 6088, 325, 4398, 817, 7043, 3783, 2867, 4699, 6258, 984, 6827, 1058, 719, 3750, 3036, 468, 6102, 4834]	[167, 380, 424, 943, 1114, 1371, 2481, 2560, 2823, 2953, 3071, 3110, 3414, 4370, 4530, 4785, 5975, 6490, 6933, 7788, 2217, 458, 7652, 6255, 3397, 2892, 3477, 4446, 5017, 405, 5109, 2828, 7091, 2915, 5237, 5546, 2581, 4092, 3486, 7658, 5387]
8551	[5586]	[168]
398	[]	[168]
5180	[]	[168]
5992	[5493]	[1877]
7381	[]	[170]
1600	[]	[170]
8362	[1600]	[7381]
8378	[6495]	[7381]
6495	[1600]	[5586]
924	[]	[173]
1199	[982]	[174]
5678	[340]	[346, 1955, 2186, 2590, 2634, 3899, 325, 1366, 2967]
8731	[]	[2189]
901	[871]	[855]
480	[]	[179]
844	[]	[179]
4298	[191]	[3777]
2707	[1073]	[186, 191, 296, 374, 449, 498, 695, 696, 1190, 1241, 1484, 1552, 1698, 1755, 1862, 2166, 2186, 2198, 2217, 2271, 2361, 2547, 271, 671, 2070, 862, 1977, 536, 861, 1366, 1390]
7017	[]	[187]
6421	[1185, 6187, 1610, 1601]	[4654, 5512, 4690]
7540	[278, 786, 1780, 1956, 1991, 3886, 4333, 6392, 6399, 6576, 6823, 6873, 7390, 3038, 6102, 2274]	[399, 458, 1796, 2548, 3570, 3744, 4085, 4490, 5116, 6340, 6368, 1401]
709	[322]	[340]
817	[506]	[191]
2315	[]	[365]
604	[77]	[167]
6690	[1484]	[191]
1073	[]	[198]
6045	[2707]	[1938, 2901, 3688, 259, 1173, 1153]
3688	[]	[2522]
191	[]	[157]
8737	[7492]	[340, 431, 2198, 2210, 2892, 4939, 6421, 202, 226, 1936, 379, 380, 1022, 804, 6258]
7541	[503, 604, 751, 902, 1484, 1574, 3886, 1160, 1161, 980, 4238, 209, 3750, 2774, 4372]	[1707, 1951, 2548, 2731, 4606, 6933, 2560, 2930, 1930]
6108	[5368]	[5991]
5368	[2707]	[3864]
